company,score_key,source_type,title,url,reliability_score,evidence_summary,checked_date
NTTデータ,new_grad_access_score,採用ページ,新卒採用情報,https://www.nttdata.com/global/ja/recruit/,4,公式採用サイトで職種・募集要項・イベント導線を確認,2026-05-14
NTTデータ,disclosure_score,IR,統合レポート/アニュアルレポート,https://www.nttdata.com/global/ja/investors/library/annualreport/,5,IRライブラリで統合レポート・事業戦略・人的資本情報を確認,2026-05-14
NTTデータ,culture_clarity_score,選考体験記,選考体験記・口コミ確認,,2,社風、選考フロー、面接傾向、働き方の補助ソース。複数サイトで裏取り推奨。,2026-05-14
富士通,new_grad_access_score,採用ページ,新卒採用情報,https://fujitsu.recruiting.jp.fujitsu.com/,4,公式新卒採用サイトで募集職種と選考情報を確認,2026-05-14
富士通,disclosure_score,IR,統合レポート,https://global.fujitsu/ja-jp/ir/library/integratedrep/,5,統合レポートで事業戦略・財務・サステナビリティ情報を確認,2026-05-14
富士通,culture_clarity_score,選考体験記,選考体験記・口コミ確認,,2,社風、選考フロー、面接傾向、働き方の補助ソース。複数サイトで裏取り推奨。,2026-05-14
NEC,new_grad_access_score,採用ページ,新卒採用情報,https://jpn.nec.com/recruit/newgraduate/,4,公式新卒採用サイトで職種・募集要項を確認,2026-05-14
NEC,disclosure_score,IR,統合レポート/アニュアルレポート,https://jpn.nec.com/ir/library/annual/index.html,5,IRライブラリで統合レポートと人的資本情報を確認,2026-05-14
NEC,culture_clarity_score,選考体験記,選考体験記・口コミ確認,,2,社風、選考フロー、面接傾向、働き方の補助ソース。複数サイトで裏取り推奨。,2026-05-14
日立製作所,new_grad_access_score,採用ページ,新卒採用情報,https://www.hitachi.co.jp/recruit/newgraduate/,4,公式新卒採用サイトで募集職種・イベント導線を確認,2026-05-14
日立製作所,disclosure_score,IR,統合報告書,https://www.hitachi.co.jp/IR/library/integrated/,5,統合報告書で事業戦略・人的資本・財務情報を確認,2026-05-14
日立製作所,culture_clarity_score,選考体験記,選考体験記・口コミ確認,,2,社風、選考フロー、面接傾向、働き方の補助ソース。複数サイトで裏取り推奨。,2026-05-14
NTTドコモ,new_grad_access_score,採用ページ,新卒採用情報,https://information.nttdocomo-fresh.jp/,4,公式新卒採用サイトでエントリー・募集情報を確認,2026-05-14
NTTドコモ,disclosure_score,IR,NTTグループ統合報告書,https://group.ntt/jp/ir/library/annual/,5,親会社NTTの統合報告書で通信事業と人的資本情報を確認,2026-05-14
NTTドコモ,culture_clarity_score,選考体験記,選考体験記・口コミ確認,,2,社風、選考フロー、面接傾向、働き方の補助ソース。複数サイトで裏取り推奨。,2026-05-14
KDDI,new_grad_access_score,採用ページ,新卒採用情報,https://career.kddi.com/recruit/student/,4,公式新卒採用サイトで募集要項・イベントを確認,2026-05-14
KDDI,disclosure_score,IR,統合レポート,https://www.kddi.com/corporate/ir/ir-library/annual-report/,5,統合レポートで通信事業・成長戦略・人的資本情報を確認,2026-05-14
KDDI,culture_clarity_score,選考体験記,選考体験記・口コミ確認,,2,社風、選考フロー、面接傾向、働き方の補助ソース。複数サイトで裏取り推奨。,2026-05-14
ソフトバンク,new_grad_access_score,採用ページ,新卒採用情報,https://recruit.softbank.jp/graduate/,4,公式新卒採用サイトで職種・募集要項を確認,2026-05-14
ソフトバンク,disclosure_score,IR,アニュアルレポート,https://group.softbank/ir/library/annual_reports,5,IRライブラリでグループ戦略・財務情報を確認,2026-05-14
ソフトバンク,culture_clarity_score,選考体験記,選考体験記・口コミ確認,,2,社風、選考フロー、面接傾向、働き方の補助ソース。複数サイトで裏取り推奨。,2026-05-14
楽天グループ,new_grad_access_score,採用ページ,新卒採用情報,https://corp.rakuten.co.jp/careers/graduates/,4,公式新卒採用サイトで募集職種と採用情報を確認,2026-05-14
楽天グループ,disclosure_score,IR,アニュアルレポート,https://corp.rakuten.co.jp/investors/documents/annual.html,5,IR資料で事業セグメント・財務・成長戦略を確認,2026-05-14
楽天グループ,culture_clarity_score,選考体験記,選考体験記・口コミ確認,,2,社風、選考フロー、面接傾向、働き方の補助ソース。複数サイトで裏取り推奨。,2026-05-14
サイバーエージェント,new_grad_access_score,採用ページ,新卒採用情報,https://www.cyberagent.co.jp/careers/students/,4,公式採用サイトで職種・選考情報を確認,2026-05-14
サイバーエージェント,disclosure_score,IR,統合報告書/アニュアルレポート,https://www.cyberagent.co.jp/ir/library/annual/,5,IRライブラリでメディア・広告・ゲーム事業と財務情報を確認,2026-05-14
サイバーエージェント,culture_clarity_score,選考体験記,選考体験記・口コミ確認,,2,社風、選考フロー、面接傾向、働き方の補助ソース。複数サイトで裏取り推奨。,2026-05-14
LINEヤフー,new_grad_access_score,採用ページ,新卒採用情報,https://www.lycorp.co.jp/ja/recruit/newgrads/,4,公式新卒採用サイトで職種と募集情報を確認,2026-05-14
LINEヤフー,disclosure_score,IR,統合報告書,https://www.lycorp.co.jp/ja/ir/library/annualreport/,5,IRライブラリで事業統合後の戦略と人的資本情報を確認,2026-05-14
LINEヤフー,culture_clarity_score,選考体験記,選考体験記・口コミ確認,,2,社風、選考フロー、面接傾向、働き方の補助ソース。複数サイトで裏取り推奨。,2026-05-14
DeNA,new_grad_access_score,採用ページ,新卒採用情報,https://dena.com/jp/recruit/students/,4,公式新卒採用サイトで募集職種と選考情報を確認,2026-05-14
DeNA,disclosure_score,IR,統合報告書,https://dena.com/jp/ir/library/annualreport/,5,IRライブラリで事業戦略・財務情報を確認,2026-05-14
DeNA,culture_clarity_score,選考体験記,選考体験記・口コミ確認,,2,社風、選考フロー、面接傾向、働き方の補助ソース。複数サイトで裏取り推奨。,2026-05-14
メルカリ,new_grad_access_score,採用ページ,新卒採用情報,https://careers.mercari.com/students/,4,公式採用サイトで新卒・学生向け募集情報を確認,2026-05-14
メルカリ,disclosure_score,IR,統合報告書,https://about.mercari.com/ir/library/annual-report/,5,IRライブラリでマーケットプレイス事業と人的資本情報を確認,2026-05-14
メルカリ,culture_clarity_score,選考体験記,選考体験記・口コミ確認,,2,社風、選考フロー、面接傾向、働き方の補助ソース。複数サイトで裏取り推奨。,2026-05-14
Sansan,new_grad_access_score,採用ページ,新卒採用情報,https://jp.corp-sansan.com/recruit/graduates/,4,公式新卒採用サイトで募集職種・カルチャー情報を確認,2026-05-14
