priority_rank,industry,company,scored_date,score_basis,industry_growth_score,company_strength_score,stability_score,compensation_score,career_capital_score,new_grad_access_score,culture_clarity_score,work_life_balance_score,transferability_score,disclosure_score,comparison_value_score,overall_score,advantage_tags,caution_tags,scoring_notes
1,IT・SI・通信,NTTデータ,2026-05-13,initial_hypothesis,5,5,5,4,5,5,3,3,5,4,5,4.57,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, company_strength, stability, career_capital。 新卒マイページは公式確認待ち。"
2,IT・SI・通信,富士通,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
3,IT・SI・通信,NEC,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
4,IT・SI・通信,日立製作所,2026-05-13,initial_hypothesis,5,5,5,4,5,4,3,3,5,5,5,4.52,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, company_strength, stability, career_capital。 新卒マイページは公式確認待ち。"
5,IT・SI・通信,NTTドコモ,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
6,IT・SI・通信,KDDI,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
7,IT・SI・通信,ソフトバンク,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
8,IT・SI・通信,楽天グループ,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
9,IT・SI・通信,サイバーエージェント,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
10,IT・SI・通信,LINEヤフー,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
11,IT・SI・通信,DeNA,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
12,IT・SI・通信,メルカリ,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
13,IT・SI・通信,Sansan,2026-05-13,initial_hypothesis,5,4,4,4,5,4,3,3,5,4,4,4.19,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, transferability。 新卒マイページは公式確認待ち。"
14,IT・SI・通信,NTTデータビジネスシステムズ,2026-05-13,initial_hypothesis,5,4,4,4,5,5,4,3,5,4,4,4.36,"DX需要, 技術汎用性, 採用職種の広さ","配属差, プロジェクト負荷, 技術変化","初期仮説。 強み: industry_growth, career_capital, new_grad_access, transferability。"
15,コンサル,アクセンチュア,2026-05-13,initial_hypothesis,5,5,3,5,5,5,4,2,5,4,5,4.47,"成長環境, 高待遇, 転職市場価値","労働負荷, 選考難度, 適性差","初期仮説。 強み: industry_growth, company_strength, compensation, career_capital。 要確認: work_life_balance。 新卒マイページは公式確認待ち。"
