priority_rank,industry,company,selection_reason,new_grad_hiring_status,mypage_2028_status,mypage_url,notes
1,IT・SI・通信,NTTデータ,国内SI最大級で公共・金融・法人の比較軸に強い,新卒採用あり,要確認,https://www.nttdata.com/global/ja/recruit/,公式採用サイトで職種・募集要項・イベント導線を確認
2,IT・SI・通信,富士通,ITサービスとメーカー双方の比較軸を持つ,新卒採用あり,要確認,https://www.google.com/search?q=%E5%AF%8C%E5%A3%AB%E9%80%9A+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
3,IT・SI・通信,NEC,官公庁・通信・社会インフラに強い,新卒採用あり,要確認,https://jpn.nec.com/recruit/newgraduate/,公式新卒採用サイトで職種・募集要項を確認
4,IT・SI・通信,日立製作所,IT・OT・プロダクト横断の大手,新卒採用あり,要確認,https://www.hitachi.co.jp/recruit/newgraduate/,公式新卒採用サイトで募集職種・イベント導線を確認
5,IT・SI・通信,NTTドコモ,通信キャリア代表,新卒採用あり,要確認,https://information.nttdocomo-fresh.jp/,公式新卒採用サイトでエントリー・募集情報を確認
6,IT・SI・通信,KDDI,通信キャリア代表,新卒採用あり,要確認,https://www.google.com/search?q=KDDI+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
7,IT・SI・通信,ソフトバンク,通信・AI・投資色が強い,新卒採用あり,要確認,https://recruit.softbank.jp/graduate/,公式新卒採用サイトで職種・募集要項を確認
8,IT・SI・通信,楽天グループ,EC・金融・通信を横断,新卒採用あり,要確認,https://corp.rakuten.co.jp/careers/graduates/,公式新卒採用サイトで募集職種と採用情報を確認
9,IT・SI・通信,サイバーエージェント,メディア・広告・ゲーム・AIの成長企業,新卒採用あり,要確認,https://www.google.com/search?q=%E3%82%B5%E3%82%A4%E3%83%90%E3%83%BC%E3%82%A8%E3%83%BC%E3%82%B8%E3%82%A7%E3%83%B3%E3%83%88+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
10,IT・SI・通信,LINEヤフー,国内最大級のネットサービス基盤,新卒採用あり,要確認,https://www.lycorp.co.jp/ja/recruit/newgrads/,公式新卒採用サイトで職種と募集情報を確認
11,IT・SI・通信,DeNA,ネットサービス・ゲーム・ヘルスケア,新卒採用あり,要確認,https://dena.com/jp/recruit/students/,公式新卒採用サイトで募集職種と選考情報を確認
12,IT・SI・通信,メルカリ,プロダクト志向の強いIT企業,新卒採用あり,要確認,https://careers.mercari.com/students/,公式採用サイトで新卒・学生向け募集情報を確認
13,IT・SI・通信,Sansan,BtoB SaaS代表,新卒採用あり,要確認,https://jp.corp-sansan.com/recruit/graduates/,公式新卒採用サイトで募集職種・カルチャー情報を確認
